year,population_pred
2025,1098416.2854941897
2026,1106659.4278599094
2027,1114654.759854963
2028,1122817.084016569
2029,1131235.2779766545
2030,1139838.493489421
2031,1148644.0925262203
2032,1157695.2789571949
2033,1167010.8802862025
2034,1176604.2400602694
