year,population_pred,county
2031,5316.875767554184,Calhoun County
2032,5293.073835947278,Calhoun County
2033,5266.183166955345,Calhoun County
2034,5235.153552653063,Calhoun County
2025,60282.28743984247,Camden County
2026,61425.66688838526,Camden County
2027,62624.614581566144,Camden County
2028,63882.60556310295,Camden County
2029,65170.123474221706,Camden County
2030,66507.74774014115,Camden County
2031,67902.39785574818,Camden County
2032,69348.30612879031,Camden County
2033,70850.36330986035,Camden County
2034,72412.1009980462,Camden County
2025,11154.87747687488,Candler County
2026,11188.035266462852,Candler County
2027,11221.9994320149,Candler County
2028,11256.826702892726,Candler County
2029,11293.381962629133,Candler County
2030,11331.796884429343,Candler County
2031,11372.15124661569,Candler County
2032,11414.56349199683,Candler County
2033,11459.124147658027,Candler County
2034,11505.891116415212,Candler County
2025,132655.7777937185,Carroll County
2026,135433.55802641794,Carroll County
2027,138350.5196736694,Carroll County
2028,141348.90378652926,Carroll County
2029,144492.13885906583,Carroll County
2030,147749.1113640506,Carroll County
2031,151158.58441906067,Carroll County
2032,154703.96768079838,Carroll County
2033,158408.81401328652,Carroll County
2034,162264.27120123513,Carroll County
2025,68903.21908025572,Catoosa County
2026,68843.21178479714,Catoosa County
2027,68754.73151444778,Catoosa County
2028,68632.65583767617,Catoosa County
2029,68466.51473531604,Catoosa County
2030,68246.19948145642,Catoosa County
2031,67958.97730919236,Catoosa County
2032,67590.8323519342,Catoosa County
2033,67124.81363102546,Catoosa County
2034,66540.7328608566,Catoosa County
2025,13074.631960761248,Charlton County
2026,13161.008377774757,Charlton County
2027,13235.384722020879,Charlton County
2028,13296.383623725424,Charlton County
2029,13358.275092127164,Charlton County
2030,13412.905073481508,Charlton County
2031,13459.055214103784,Charlton County
2032,13499.392434991934,Charlton County
2033,13532.424893758096,Charlton County
2034,13557.750361550867,Charlton County
2025,311670.4828572081,Chatham County
2026,315169.2610201114,Chatham County
2027,318642.13165904814,Chatham County
2028,322677.1377914387,Chatham County
2029,326496.5451692183,Chatham County
2030,330412.383929088,Chatham County
2031,334556.4458368557,Chatham County
2032,338700.69290855643,Chatham County
2033,342957.66941869084,Chatham County
2034,347352.3693164013,Chatham County
2025,8535.948566031115,Chattahoochee County
2026,8543.714608961924,Chattahoochee County
2027,8591.61791455098,Chattahoochee County
2028,8688.176196928467,Chattahoochee County
2029,8837.172482483198,Chattahoochee County
2030,9041.784566352033,Chattahoochee County
2031,9302.00081036671,Chattahoochee County
2032,9611.818470717204,Chattahoochee County
2033,9957.728847417824,Chattahoochee County
2034,10318.599047865871,Chattahoochee County
2025,25471.200510239294,Chattooga County
2026,25633.292047875664,Chattooga County
2027,25771.424764163934,Chattooga County
2028,25905.71662444196,Chattooga County
2029,26022.824486022328,Chattooga County
2030,26123.224764906507,Chattooga County
2031,26207.20988315152,Chattooga County
2032,26272.36245619913,Chattooga County
2033,26319.074563137405,Chattooga County
2034,26347.21091890317,Chattooga County
2025,299876.17657313787,Cherokee County
2026,306430.2382535753,Cherokee County
2027,313147.7466573785,Cherokee County
2028,320036.6703573308,Cherokee County
2029,327095.268128883,Cherokee County
2030,334323.4481726397,Cherokee County
2031,341719.58381229977,Cherokee County
2032,349281.58794147207,Cherokee County
2033,357006.9913015622,Cherokee County
2034,364893.3151899462,Cherokee County
2025,130087.53049428668,Clarke County
2026,130146.47123196309,Clarke County
2027,130058.37155654802,Clarke County
2028,129979.18285290423,Clarke County
2029,129844.62761155094,Clarke County
2030,129621.06778462672,Clarke County
2031,129318.39171116691,Clarke County
2032,128916.71059275024,Clarke County
2033,128396.42082534172,Clarke County
2034,127742.88179024635,Clarke County
2025,2746.1025180064507,Clay County
2026,2685.3359433058386,Clay County
2027,2627.509867958138,Clay County
2028,2565.12176785454,Clay County
2029,2494.8481605057987,Clay County
2030,2413.9202531026112,Clay County
2031,2317.4171250132986,Clay County
2032,2197.1567638967927,Clay County
2033,2039.6456883184537,Clay County
2034,1820.7306979755326,Clay County
2025,295796.6847932802,Clayton County
2026,294292.5385642176,Clayton County
2027,291696.78837714554,Clayton County
2028,287706.0269739216,Clayton County
2029,282671.9732380968,Clayton County
2030,276091.7425342598,Clayton County
2031,267214.30661383335,Clayton County
2032,255509.85423900647,Clayton County
2033,240098.6996465209,Clayton County
2034,219378.10035014636,Clayton County
2025,6890.781715718713,Clinch County
2026,6959.238565435128,Clinch County
2027,7025.83309486702,Clinch County
2028,7068.650781213902,Clinch County
2029,7121.242535329325,Clinch County
2030,7178.5808349764675,Clinch County
2031,7226.472243261753,Clinch County
2032,7273.360193192043,Clinch County
2033,7322.0079380651,Clinch County
2034,7366.971385035323,Clinch County
2025,793717.4473400657,Cobb County
2026,799760.4435020098,Cobb County
2027,805847.1446654215,Cobb County
2028,812025.4793888733,Cobb County
2029,818368.7975838743,Cobb County
2030,824917.3364634098,Cobb County
2031,831714.0651734913,Cobb County
2032,838794.0609797782,Cobb County
2033,846193.083026745,Cobb County
2034,853945.9290046581,Cobb County
2025,44130.87148536367,Coffee County
2026,44308.67192183411,Coffee County
2027,44651.5825290797,Coffee County
2028,44931.737881923866,Coffee County
2029,45118.99738656352,Coffee County
2030,45418.88829161848,Coffee County
2031,45683.65524165261,Coffee County
2032,45867.68822070702,Coffee County
2033,46125.751167644325,Coffee County
2034,46365.634497603736,Coffee County
2025,47318.6985655126,Colquitt County
2026,47752.41854313878,Colquitt County
2027,48189.11486083972,Colquitt County
2028,48570.99208577027,Colquitt County
2029,48956.85581011558,Colquitt County
2030,49342.23888164468,Colquitt County
2031,49700.598865917134,Colquitt County
2032,50042.834688065464,Colquitt County
2033,50373.90811530268,Colquitt County
2034,50685.99517411996,Colquitt County
2025,169991.48323605827,Columbia County
2026,172546.0137080782,Columbia County
2027,175135.76969824368,Columbia County
2028,177863.58400764433,Columbia County
2029,180698.77624180264,Columbia County
2030,183654.12903074146,Columbia County
2031,186747.2009375591,Columbia County
2032,189985.84609573588,Columbia County
2033,193381.72851965082,Columbia County
2034,196946.5802901097,Columbia County
2025,18117.358457895312,Cook County
2026,18400.920691319094,Cook County
2027,18669.484720190525,Cook County
2028,18812.66864204095,Cook County
2029,19025.33124115904,Cook County
2030,19286.387498685606,Cook County
2031,19445.03648875538,Cook County
2032,19601.368364764687,Cook County
2033,19822.805906707217,Cook County
2034,19989.52294000931,Cook County
2025,160562.9762524299,Coweta County
2026,162604.64334657713,Coweta County
2027,164878.3498786718,Coweta County
2028,167143.2934159725,Coweta County
2029,169569.81215687696,Coweta County
2030,172074.3141701654,Coweta County
2031,174714.27896476304,Coweta County
2032,177461.02298621763,Coweta County
2033,180333.58481598424,Coweta County
2034,183321.2876659619,Coweta County
2025,12353.256650572857,Crawford County
2026,12384.922271858115,Crawford County
2027,12414.48105910528,Crawford County
2028,12435.498404212627,Crawford County
2029,12454.924443677151,Crawford County
2030,12473.394155171432,Crawford County
2031,12489.02892143818,Crawford County
2032,12501.61988993048,Crawford County
2033,12511.42589404247,Crawford County
2034,12518.316681715734,Crawford County
2025,19331.541220492272,Crisp County
2026,19162.574784393983,Crisp County
2027,19014.036573080004,Crisp County
2028,18857.94989028534,Crisp County
2029,18710.512335825853,Crisp County
2030,18564.116812495267,Crisp County
2031,18424.40075525279,Crisp County
2032,18290.190756493255,Crisp County
2033,18164.543317128326,Crisp County
2034,18048.90839044626,Crisp County
2025,16013.105712487046,Dade County
2026,15916.62020388285,Dade County
2027,15837.541750768098,Dade County
2028,15748.577734859951,Dade County
2029,15663.719335665202,Dade County
2030,15576.193789763314,Dade County
2031,15489.350278830969,Dade County
2032,15401.496230430199,Dade County
2033,15313.399775887812,Dade County
2034,15224.592740187974,Dade County
2025,35803.99533112834,Dawson County
2026,38101.09667396198,Dawson County
2027,40595.36627630026,Dawson County
2028,43353.08565292296,Dawson County
2029,46383.64895317102,Dawson County
2030,49716.04853442468,Dawson County
2031,53369.62461951269,Dawson County
2032,57369.850297617166,Dawson County
2033,61743.148291898986,Dawson County
2034,66519.92568463855,Dawson County
2025,773456.4793404925,DeKalb County
2026,776700.7522829045,DeKalb County
2027,779700.8496838092,DeKalb County
2028,782807.2905825935,DeKalb County
2029,786008.2189506736,DeKalb County
2030,789223.2322387742,DeKalb County
2031,792496.3639259619,DeKalb County
2032,795848.2441612044,DeKalb County
2033,799272.7366254942,DeKalb County
2034,802779.307411312,DeKalb County
2025,29845.07025701231,Decatur County
2026,30511.277454620562,Decatur County
2027,31384.27624286984,Decatur County
2028,32460.561299121036,Decatur County
2029,33705.6875869006,Decatur County
2030,35083.844340405354,Decatur County
2031,36544.27981005507,Decatur County
2032,38051.93478747443,Decatur County
2033,39580.987827117046,Decatur County
2034,41133.40041006849,Decatur County
2025,19613.84951588226,Dodge County
2026,19518.743282602783,Dodge County
2027,19426.111105140037,Dodge County
2028,19370.46070696152,Dodge County
2029,19298.083075773964,Dodge County
2030,19236.296242306933,Dodge County
2031,19189.697125385297,Dodge County
2032,19147.919993351945,Dodge County
2033,19120.577291127076,Dodge County
2034,19109.558475634276,Dodge County
2025,11110.974392507618,Dooly County
2026,11295.14831260296,Dooly County
2027,11481.17335882708,Dooly County
2028,11558.544653161869,Dooly County
2029,11726.316665579674,Dooly County
2030,11959.880319737153,Dooly County
2031,12180.340628141104,Dooly County
2032,12453.069871773965,Dooly County
2033,12802.141505892661,Dooly County
2034,13192.752906382753,Dooly County
2025,82198.18047941488,Dougherty County
2026,82004.95173627265,Dougherty County
2027,81842.60642323918,Dougherty County
2028,81723.87181220726,Dougherty County
2029,81659.28044269717,Dougherty County
2030,81661.8784606871,Dougherty County
2031,81745.16199086772,Dougherty County
2032,81924.07571490656,Dougherty County
2033,82214.4139719244,Dougherty County
2034,82632.766255733,Dougherty County
2025,154228.88351558687,Douglas County
2026,156642.10002744576,Douglas County
2027,159111.32983541177,Douglas County
2028,161641.07364764233,Douglas County
2029,164238.41390791113,Douglas County
2030,166908.33353429314,Douglas County
2031,169655.41704698122,Douglas County
2032,172483.47443573573,Douglas County
2033,175395.5420867089,Douglas County
2034,178393.91610712913,Douglas County
2025,10461.459410814823,Early County
2026,10298.794730660928,Early County
2027,10358.191207633088,Early County
2028,10148.60246939615,Early County
2029,10273.688451259266,Early County
2030,9993.25264188857,Early County
2031,10215.892016900976,Early County
2032,9826.383447642276,Early County
2033,10193.418577715207,Early County
2034,9635.980506273409,Early County
2025,3699.98795524129,Echols County
2026,3720.6195246547745,Echols County
2027,3694.504561969381,Echols County
2028,3695.915878763207,Echols County
2029,3702.816420494181,Echols County
2030,3684.61880307512,Echols County
2031,3683.11834663889,Echols County
2032,3681.6285840298633,Echols County
2033,3666.633584154781,Echols County
2034,3661.106239570461,Echols County
2025,75391.58190416318,Effingham County
2026,78171.91471194918,Effingham County
2027,80395.52869611891,Effingham County
2028,82993.17459238373,Effingham County
2029,86240.72452757275,Effingham County
2030,89284.87469149631,Effingham County
2031,92598.86709196307,Effingham County
2032,96607.71314921987,Effingham County
2033,100719.2179762816,Effingham County
2034,105111.00369188515,Effingham County
2025,20303.597354070276,Elbert County
2026,20459.174550738,Elbert County
2027,20619.655511662335,Elbert County
2028,20785.746028552036,Elbert County
2029,20958.001248611592,Elbert County
2030,21136.844483236517,Elbert County
2031,21322.57345229121,Elbert County
2032,21515.36510268841,Elbert County
2033,21715.28235074647,Elbert County
2034,21922.283572541695,Elbert County
2025,23341.75630304586,Emanuel County
2026,23451.725673837063,Emanuel County
2027,23562.211533995775,Emanuel County
2028,23673.455374310874,Emanuel County
2029,23784.636155988424,Emanuel County
2030,23896.091314027584,Emanuel County
2031,24007.732136455346,Emanuel County
2032,24119.56841027437,Emanuel County
2033,24231.60579380565,Emanuel County
2034,24343.8475727356,Emanuel County
2025,10929.327623319872,Evans County
2026,11008.997260608985,Evans County
2027,11091.446046532697,Evans County
2028,11159.730967800773,Evans County
2029,11226.371228845883,Evans County
2030,11288.537256263056,Evans County
2031,11342.534634303367,Evans County
2032,11390.293832703092,Evans County
2033,11431.330544402876,Evans County
2034,11464.960649001476,Evans County
2025,25774.627364163905,Fannin County
2026,25736.00477803654,Fannin County
2027,25692.610303587062,Fannin County
2028,25639.886560250903,Fannin County
2029,25584.12509775776,Fannin County
2030,25524.37434292246,Fannin County
2031,25458.808469525142,Fannin County
2032,25386.6882853624,Fannin County
2033,25307.19154197458,Fannin County
2034,25219.225451103575,Fannin County
2025,126481.54551959877,Fayette County
2026,127904.18134453756,Fayette County
2027,129356.71064288518,Fayette County
2028,130814.5559218102,Fayette County
2029,132277.87397573405,Fayette County
2030,133751.749497176,Fayette County
2031,135236.00059558562,Fayette County
2032,136728.8823973623,Fayette County
2033,138230.05987786478,Fayette County
2034,139740.01046074106,Fayette County
2025,102442.03576400058,Floyd County
2026,103560.95656109706,Floyd County
2027,104741.44058311114,Floyd County
2028,105986.0179857813,Floyd County
2029,107301.21606862782,Floyd County
2030,108696.35788669696,Floyd County
2031,110182.3325217941,Floyd County
2032,111770.66492684073,Floyd County
2033,113472.78461896522,Floyd County
2034,115299.4697615617,Floyd County
2025,286434.74463554844,Forsyth County
2026,291627.07699124236,Forsyth County
2027,295591.4793201657,Forsyth County
2028,298265.69746416435,Forsyth County
2029,298321.03267456125,Forsyth County
2030,294756.2590528317,Forsyth County
2031,285912.087772185,Forsyth County
2032,268906.80430830363,Forsyth County
2033,239471.09868705366,Forsyth County
2034,190297.8372301599,Forsyth County
2025,25570.488440853165,Franklin County
2026,26228.865577735334,Franklin County
2027,26932.29863321085,Franklin County
2028,27315.956312496965,Franklin County
2029,27643.41936151054,Franklin County
2030,28312.591919053382,Franklin County
2031,29055.6951353291,Franklin County
2032,29432.13459252117,Franklin County
2033,29722.664310299806,Franklin County
2034,30409.48042725293,Franklin County
2025,1098416.2854941897,Fulton County
2026,1106659.4278599094,Fulton County
2027,1114654.759854963,Fulton County
2028,1122817.084016569,Fulton County
2029,1131235.2779766545,Fulton County
2030,1139838.493489421,Fulton County
2031,1148644.0925262203,Fulton County
2032,1157695.2789571949,Fulton County
2033,1167010.8802862025,Fulton County
2034,1176604.2400602694,Fulton County
2025,11307128.11365107,Georgia
2026,11440233.425277052,Georgia
2027,11576174.011514109,Georgia
2028,11718636.529919771,Georgia
2029,11869854.10768364,Georgia
2030,12030815.267920852,Georgia
2031,12203533.76892994,Georgia
2032,12390443.24834641,Georgia
2033,12594011.14792932,Georgia
2034,12817005.610260151,Georgia
2025,33816.21383691677,Gilmer County
2026,34300.23119832683,Gilmer County
2027,34804.45226101895,Gilmer County
2028,35312.10127159178,Gilmer County
2029,35838.9194176169,Gilmer County
2030,36376.480503372724,Gilmer County
2031,36934.56427437191,Gilmer County
2032,37509.29237674335,Gilmer County
2033,38107.016098735745,Gilmer County
2034,38726.36144246519,Gilmer County
2025,3075.4014413365553,Glascock County
2026,3127.6845136024062,Glascock County
2027,3173.829880923005,Glascock County
2028,3218.1562873390453,Glascock County
2029,3256.6924492701414,Glascock County
2030,3286.8313277503703,Glascock County
2031,3309.108754200831,Glascock County
2032,3324.2714266164216,Glascock County
2033,3332.447964621165,Glascock County
2034,3333.900557559681,Glascock County
2025,86891.57808763132,Glynn County
2026,87254.07930492981,Glynn County
2027,87625.64971450462,Glynn County
2028,88007.9551644608,Glynn County
2029,88402.24689901019,Glynn County
2030,88809.7080018126,Glynn County
2031,89231.4495491689,Glynn County
2032,89668.49802740422,Glynn County
2033,90121.78584407167,Glynn County
2034,90592.14241223941,Glynn County
2025,61557.91407145318,Gordon County
2026,62347.581086626524,Gordon County
2027,63241.06367065495,Gordon County
2028,64214.08945886673,Gordon County
2029,65208.98798696505,Gordon County
2030,66226.30254059742,Gordon County
2031,67302.58391861647,Gordon County
2032,68454.54794537589,Gordon County
2033,69672.85417707668,Gordon County
2034,70949.62269682132,Gordon County
2025,26445.285712655994,Grady County
2026,26633.19995035571,Grady County
2027,26825.869187283242,Grady County
2028,27019.8906144622,Grady County
2029,27214.528296875895,Grady County
2030,27410.275134306714,Grady County
2031,27608.11852467641,Grady County
2032,27809.1711787578,Grady County
2033,28014.492124504057,Grady County
2034,28225.00668430497,Grady County
2025,21404.814320591762,Greene County
2026,21933.035221547667,Greene County
2027,22571.265760892573,Greene County
2028,23070.009538286977,Greene County
2029,23460.220495760856,Greene County
2030,23962.709610136135,Greene County
2031,24603.075562531034,Greene County
2032,25199.16006424224,Greene County
2033,25686.526310908263,Greene County
2034,26207.699889135314,Greene County
2025,1016309.097714131,Gwinnett County
2026,1028853.0936621481,Gwinnett County
2027,1041471.4745302339,Gwinnett County
2028,1054155.5908677157,Gwinnett County
2029,1066906.4810844795,Gwinnett County
2030,1079731.553125674,Gwinnett County
2031,1092643.2906982072,Gwinnett County
2032,1105658.6485462605,Gwinnett County
2033,1118798.7329205638,Gwinnett County
2034,1132088.645901523,Gwinnett County
2025,50790.24702757405,Habersham County
2026,51841.86728890572,Habersham County
2027,52914.8782491538,Habersham County
2028,54047.21942312266,Habersham County
2029,55181.04117705606,Habersham County
2030,56358.38267729015,Habersham County
2031,57564.29120474722,Habersham County
2032,58802.60215018288,Habersham County
2033,60078.112392295225,Habersham County
2034,61388.96025298429,Habersham County
2025,224492.17000844926,Hall County
2026,227463.89680491338,Hall County
2027,230968.51797617655,Hall County
2028,234749.1099877236,Hall County
2029,238436.74297858085,Hall County
2030,241867.55089207125,Hall County
2031,245102.65581643823,Hall County
2032,248278.80854344604,Hall County
2033,251479.97872552145,Hall County
2034,254710.94172744258,Hall County
2025,8763.593744537142,Hancock County
2026,8751.78086865665,Hancock County
2027,8766.875779303136,Hancock County
2028,8750.805036543228,Hancock County
2029,8734.62271233429,Hancock County
2030,8703.106213908337,Hancock County
2031,8664.30177228714,Hancock County
2032,8614.269568240734,Hancock County
2033,8555.093222452142,Hancock County
2034,8485.733706243715,Hancock County
2025,32727.177185988534,Haralson County
2026,33348.84706741886,Haralson County
2027,34078.774366086276,Haralson County
2028,34549.97918796698,Haralson County
2029,34849.46806210841,Haralson County
2030,35336.47007969908,Haralson County
2031,36019.93519120828,Haralson County
2032,36569.646706209256,Haralson County
2033,36894.862473766596,Haralson County
2034,37280.83816495745,Haralson County
2025,37363.57930959791,Harris County
2026,37867.08544133557,Harris County
2027,38262.95060113067,Harris County
2028,38648.71743987886,Harris County
2029,39105.022908630526,Harris County
2030,39569.67783881943,Harris County
2031,40009.643450349504,Harris County
2032,40463.97956798309,Harris County
2033,40946.339509148136,Harris County
2034,41435.86351752378,Harris County
2025,28385.07781787607,Hart County
2026,28926.548463508967,Hart County
2027,29678.688074233934,Hart County
2028,30193.631749330943,Hart County
2029,30423.18819219425,Hart County
2030,30893.96705802972,Hart County
2031,31713.84119941002,Hart County
2032,32266.210825879494,Hart County
2033,32360.538291543173,Hart County
2034,32715.26616118327,Hart County
2025,12109.177238796625,Heard County
2026,12248.607150951286,Heard County
2027,12418.251399065299,Heard County
2028,12488.67716971603,Heard County
2029,12532.20831928565,Heard County
2030,12619.83203732496,Heard County
2031,12706.77151730465,Heard County
2032,12753.010386798649,Heard County
2033,12785.558650953268,Heard County
2034,12826.80016204151,Heard County
2025,263536.4164713518,Henry County
2026,268899.53159615013,Henry County
2027,273972.8584729169,Henry County
2028,278890.45944710873,Henry County
2029,284241.8816701872,Henry County
2030,289706.7719725319,Henry County
2031,295207.90770966676,Henry County
2032,300955.95587096363,Henry County
2033,306916.59022317594,Henry County
2034,313048.75523836253,Henry County
2025,177539.77393463755,Houston County
2026,180470.74845937348,Houston County
2027,183250.31253607286,Houston County
2028,186147.8902219086,Houston County
2029,188977.0693257105,Houston County
2030,191859.0072445848,Houston County
2031,194714.9649750208,Houston County
2032,197600.31888905127,Houston County
2033,200483.1537244692,Houston County
2034,203390.01969068748,Houston County
2025,9118.439230497941,Irwin County
2026,9100.030533679375,Irwin County
2027,9089.076129065701,Irwin County
2028,9070.619988715845,Irwin County
2029,9052.868713403948,Irwin County
2030,9036.263058168546,Irwin County
2031,9019.049913169812,Irwin County
2032,9002.027998981488,Irwin County
2033,8985.531190573602,Irwin County
2034,8969.516724990088,Irwin County
2025,99115.06641489721,Jackson County
2026,104687.40270738491,Jackson County
2027,110675.70150115677,Jackson County
2028,117140.88715787973,Jackson County
2029,124114.42178214181,Jackson County
2030,131630.7954416364,Jackson County
2031,139729.20755824647,Jackson County
2032,148450.17401005753,Jackson County
2033,157836.08097639985,Jackson County
2034,167932.8770252787,Jackson County
2025,17754.93013698971,Jasper County
2026,18534.69804223413,Jasper County
2027,19119.09118930181,Jasper County
2028,19970.466926394634,Jasper County
2029,20612.357156272563,Jasper County
2030,21543.28843091434,Jasper County
2031,22248.35985398249,Jasper County
2032,23265.45863425258,Jasper County
2033,24039.090145484188,Jasper County
2034,25149.30456082248,Jasper County
2025,15255.845864077188,Jeff Davis County
2026,15401.151856396327,Jeff Davis County
2027,15540.229837700777,Jeff Davis County
2028,15672.296720324966,Jeff Davis County
2029,15795.521816001272,Jeff Davis County
2030,15908.239895816752,Jeff Davis County
2031,16009.230316377249,Jeff Davis County
2032,16097.60449779928,Jeff Davis County
2033,16172.827447377324,Jeff Davis County
2034,16234.68384997936,Jeff Davis County
2025,14840.662564388622,Jefferson County
2026,14678.504817875428,Jefferson County
2027,14511.949226932838,Jefferson County
2028,14345.60697515422,Jefferson County
2029,14182.244179397343,Jefferson County
2030,14020.038054702956,Jefferson County
2031,13858.6891054566,Jefferson County
2032,13698.39234484571,Jefferson County
2033,13538.86688919536,Jefferson County
