county,year,population_pred,upper,lower
Fulton,2025,1080235.6548611107,1087584.6154551203,1072886.6942671011
Fulton,2026,1080235.6548611107,1087584.6154551203,1072886.6942671011
Fulton,2027,1080235.6548611107,1087584.6154551203,1072886.6942671011
Fulton,2028,1080235.6548611107,1087584.6154551203,1072886.6942671011
Fulton,2029,1080235.6548611107,1087584.6154551203,1072886.6942671011
