Label (Grouping),United States!!Estimate,United States!!Margin of Error,United States!!Percent,United States!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,"Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Margin of Error","Barrow County, Georgia!!Percent","Barrow County, Georgia!!Percent Margin of Error","Bartow County, Georgia!!Estimate","Bartow County, Georgia!!Margin of Error","Bartow County, Georgia!!Percent","Bartow County, Georgia!!Percent Margin of Error","Bibb County, Georgia!!Estimate","Bibb County, Georgia!!Margin of Error","Bibb County, Georgia!!Percent","Bibb County, Georgia!!Percent Margin of Error","Bulloch County, Georgia!!Estimate","Bulloch County, Georgia!!Margin of Error","Bulloch County, Georgia!!Percent","Bulloch County, Georgia!!Percent Margin of Error","Carroll County, Georgia!!Estimate","Carroll County, Georgia!!Margin of Error","Carroll County, Georgia!!Percent","Carroll County, Georgia!!Percent Margin of Error","Catoosa County, Georgia!!Estimate","Catoosa County, Georgia!!Margin of Error","Catoosa County, Georgia!!Percent","Catoosa County, Georgia!!Percent Margin of Error","Chatham County, Georgia!!Estimate","Chatham County, Georgia!!Margin of Error","Chatham County, Georgia!!Percent","Chatham County, Georgia!!Percent Margin of Error","Cherokee County, Georgia!!Estimate","Cherokee County, Georgia!!Margin of Error","Cherokee County, Georgia!!Percent","Cherokee County, Georgia!!Percent Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Margin of Error","Clarke County, Georgia!!Percent","Clarke County, Georgia!!Percent Margin of Error","Clayton County, Georgia!!Estimate","Clayton County, Georgia!!Margin of Error","Clayton County, Georgia!!Percent","Clayton County, Georgia!!Percent Margin of Error","Cobb County, Georgia!!Estimate","Cobb County, Georgia!!Margin of Error","Cobb County, Georgia!!Percent","Cobb County, Georgia!!Percent Margin of Error","Columbia County, Georgia!!Estimate","Columbia County, Georgia!!Margin of Error","Columbia County, Georgia!!Percent","Columbia County, Georgia!!Percent Margin of Error","Coweta County, Georgia!!Estimate","Coweta County, Georgia!!Margin of Error","Coweta County, Georgia!!Percent","Coweta County, Georgia!!Percent Margin of Error","DeKalb County, Georgia!!Estimate","DeKalb County, Georgia!!Margin of Error","DeKalb County, Georgia!!Percent","DeKalb County, Georgia!!Percent Margin of Error","Dougherty County, Georgia!!Estimate","Dougherty County, Georgia!!Margin of Error","Dougherty County, Georgia!!Percent","Dougherty County, Georgia!!Percent Margin of Error","Douglas County, Georgia!!Estimate","Douglas County, Georgia!!Margin of Error","Douglas County, Georgia!!Percent","Douglas County, Georgia!!Percent Margin of Error","Effingham County, Georgia!!Estimate","Effingham County, Georgia!!Margin of Error","Effingham County, Georgia!!Percent","Effingham County, Georgia!!Percent Margin of Error","Fayette County, Georgia!!Estimate","Fayette County, Georgia!!Margin of Error","Fayette County, Georgia!!Percent","Fayette County, Georgia!!Percent Margin of Error","Floyd County, Georgia!!Estimate","Floyd County, Georgia!!Margin of Error","Floyd County, Georgia!!Percent","Floyd County, Georgia!!Percent Margin of Error","Forsyth County, Georgia!!Estimate","Forsyth County, Georgia!!Margin of Error","Forsyth County, Georgia!!Percent","Forsyth County, Georgia!!Percent Margin of Error","Fulton County, Georgia!!Estimate","Fulton County, Georgia!!Margin of Error","Fulton County, Georgia!!Percent","Fulton County, Georgia!!Percent Margin of Error","Glynn County, Georgia!!Estimate","Glynn County, Georgia!!Margin of Error","Glynn County, Georgia!!Percent","Glynn County, Georgia!!Percent Margin of Error","Gwinnett County, Georgia!!Estimate","Gwinnett County, Georgia!!Margin of Error","Gwinnett County, Georgia!!Percent","Gwinnett County, Georgia!!Percent Margin of Error","Hall County, Georgia!!Estimate","Hall County, Georgia!!Margin of Error","Hall County, Georgia!!Percent","Hall County, Georgia!!Percent Margin of Error","Henry County, Georgia!!Estimate","Henry County, Georgia!!Margin of Error","Henry County, Georgia!!Percent","Henry County, Georgia!!Percent Margin of Error","Houston County, Georgia!!Estimate","Houston County, Georgia!!Margin of Error","Houston County, Georgia!!Percent","Houston County, Georgia!!Percent Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Margin of Error","Jackson County, Georgia!!Percent","Jackson County, Georgia!!Percent Margin of Error","Liberty County, Georgia!!Estimate","Liberty County, Georgia!!Margin of Error","Liberty County, Georgia!!Percent","Liberty County, Georgia!!Percent Margin of Error","Lowndes County, Georgia!!Estimate","Lowndes County, Georgia!!Margin of Error","Lowndes County, Georgia!!Percent","Lowndes County, Georgia!!Percent Margin of Error","Muscogee County, Georgia!!Estimate","Muscogee County, Georgia!!Margin of Error","Muscogee County, Georgia!!Percent","Muscogee County, Georgia!!Percent Margin of Error","Newton County, Georgia!!Estimate","Newton County, Georgia!!Margin of Error","Newton County, Georgia!!Percent","Newton County, Georgia!!Percent Margin of Error","Paulding County, Georgia!!Estimate","Paulding County, Georgia!!Margin of Error","Paulding County, Georgia!!Percent","Paulding County, Georgia!!Percent Margin of Error","Richmond County, Georgia!!Estimate","Richmond County, Georgia!!Margin of Error","Richmond County, Georgia!!Percent","Richmond County, Georgia!!Percent Margin of Error","Rockdale County, Georgia!!Estimate","Rockdale County, Georgia!!Margin of Error","Rockdale County, Georgia!!Percent","Rockdale County, Georgia!!Percent Margin of Error","Spalding County, Georgia!!Estimate","Spalding County, Georgia!!Margin of Error","Spalding County, Georgia!!Percent","Spalding County, Georgia!!Percent Margin of Error","Troup County, Georgia!!Estimate","Troup County, Georgia!!Margin of Error","Troup County, Georgia!!Percent","Troup County, Georgia!!Percent Margin of Error","Walker County, Georgia!!Estimate","Walker County, Georgia!!Margin of Error","Walker County, Georgia!!Percent","Walker County, Georgia!!Percent Margin of Error","Walton County, Georgia!!Estimate","Walton County, Georgia!!Margin of Error","Walton County, Georgia!!Percent","Walton County, Georgia!!Percent Margin of Error","Whitfield County, Georgia!!Estimate","Whitfield County, Georgia!!Margin of Error","Whitfield County, Georgia!!Percent","Whitfield County, Georgia!!Percent Margin of Error"
                Samoan,"123,994","±12,083",0.0%,±0.1,"3,206","±2,452",0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
                Other Native Hawaiian and Other Pacific Islander,"263,408","±16,017",0.1%,±0.1,"2,160","±1,391",0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
            Some Other Race,"25,282,912","±137,517",7.4%,±0.1,"598,698","±23,533",5.4%,±0.2,"7,167","±1,954",7.4%,±2.0,"5,156","±2,286",4.4%,±1.9,"4,003","±2,403",2.5%,±1.5,"2,536","±1,314",3.0%,±1.5,"2,196","±1,175",1.7%,±0.9,"2,419",±779,3.5%,±1.1,"11,056","±3,949",3.6%,±1.3,"13,051","±3,911",4.4%,±1.3,"4,352","±2,123",3.3%,±1.6,"18,391","±6,042",6.2%,±2.0,"75,817","±6,641",9.6%,±0.8,"6,965","±2,155",4.2%,±1.3,"7,890","±2,217",5.0%,±1.4,"38,674","±6,667",5.0%,±0.9,"2,523",±692,3.1%,±0.8,"10,071","±2,900",6.6%,±1.9,"3,121","±1,443",4.3%,±2.0,"7,786","±2,840",6.2%,±2.3,"8,565","±2,313",8.4%,±2.3,"5,551","±3,105",2.0%,±1.1,"30,094","±6,245",2.8%,±0.6,"4,163","±1,984",4.8%,±2.3,"138,986","±11,128",13.8%,±1.1,"20,865","±5,468",9.4%,±2.5,"10,021","±2,943",3.9%,±1.1,"5,958","±2,667",3.4%,±1.5,"2,266","±1,526",2.4%,±1.6,"3,171","±1,305",4.6%,±1.9,"2,591","±1,735",2.1%,±1.4,"10,423","±2,172",5.2%,±1.1,"3,811","±2,460",3.1%,±2.0,"10,365","±3,003",5.5%,±1.6,"7,097","±2,155",3.4%,±1.0,"2,719","±1,266",2.8%,±1.3,"1,258",±911,1.8%,±1.3,"1,238",±831,1.7%,±1.2,647,±457,0.9%,±0.7,"3,682","±2,264",3.4%,±2.1,"25,001","±3,646",23.8%,±3.5
        Two or More Races,"44,943,250","±197,808",13.2%,±0.1,"976,335","±29,338",8.7%,±0.3,"12,529","±2,295",13.0%,±2.4,"10,831","±2,808",9.2%,±2.4,"8,093","±2,778",5.2%,±1.8,"4,444","±1,868",5.2%,±2.2,"15,110","±2,866",11.6%,±2.2,"3,876","±1,015",5.6%,±1.5,"20,995","±3,536",6.8%,±1.2,"27,741","±5,171",9.5%,±1.8,"12,052","±3,366",9.3%,±2.6,"28,583","±6,645",9.6%,±2.2,"72,332","±6,158",9.2%,±0.8,"12,805","±3,137",7.6%,±1.9,"10,954","±2,869",6.9%,±1.8,"70,746","±8,198",9.2%,±1.1,"3,756","±1,747",4.6%,±2.1,"13,237","±3,515",8.7%,±2.3,"4,731","±1,736",6.5%,±2.4,"8,000","±1,952",6.4%,±1.6,"5,534","±1,849",5.5%,±1.8,"26,406","±3,938",9.4%,±1.4,"100,646","±9,295",9.2%,±0.9,"5,796","±1,969",6.7%,±2.3,"123,643","±10,524",12.3%,±1.0,"38,590","±5,786",17.4%,±2.6,"21,478","±4,625",8.3%,±1.8,"13,743","±3,940",7.9%,±2.3,"9,546","±2,658",10.2%,±2.8,"12,396","±3,198",18.1%,±4.7,"8,305","±2,114",6.8%,±1.7,"14,572","±3,283",7.2%,±1.6,"7,539","±2,742",6.1%,±2.2,"18,935","±5,380",10.0%,±2.9,"14,115","±2,682",6.8%,±1.3,"8,522","±2,779",8.7%,±2.8,"4,705","±1,963",6.7%,±2.8,"4,563","±1,905",6.4%,±2.7,"4,065",±821,5.9%,±1.2,"8,866","±2,983",8.1%,±2.7,"14,791","±3,092",14.1%,±2.9
            White and Black or African American,"4,281,238","±75,717",1.3%,±0.1,"178,986","±12,749",1.6%,±0.1,"1,181",±901,1.2%,±0.9,"1,953","±1,098",1.7%,±0.9,"3,351","±1,838",2.1%,±1.2,"1,557","±1,055",1.8%,±1.2,"1,874","±1,125",1.4%,±0.9,127,±120,0.2%,±0.2,"5,648","±2,109",1.8%,±0.7,"4,241","±1,609",1.4%,±0.5,"1,111",±752,0.9%,±0.6,"5,957","±3,179",2.0%,±1.1,"12,905","±3,711",1.6%,±0.5,"2,613","±1,757",1.6%,±1.0,"3,825","±2,199",2.4%,±1.4,"11,168","±4,242",1.4%,±0.6,"1,630","±1,543",2.0%,±1.9,"2,706","±1,665",1.8%,±1.1,N,N,N,N,877,±656,0.7%,±0.5,"1,268",±924,1.3%,±0.9,689,±736,0.2%,±0.3,"20,182","±4,826",1.9%,±0.4,"1,614","±1,264",1.9%,±1.5,"18,190","±5,598",1.8%,±0.6,"4,279","±1,707",1.9%,±0.8,"5,020","±1,845",1.9%,±0.7,"3,052","±1,512",1.7%,±0.9,"1,553","±1,149",1.7%,±1.2,"1,851","±1,040",2.7%,±1.5,501,±379,0.4%,±0.3,"4,480","±1,805",2.2%,±0.9,"1,845","±1,113",1.5%,±0.9,"2,775","±1,367",1.5%,±0.7,"5,446","±1,697",2.6%,±0.8,"2,319","±1,736",2.4%,±1.8,N,N,N,N,N,N,N,N,N,N,N,N,"2,154","±1,305",2.0%,±1.2,"1,153","±1,035",1.1%,±1.0
            White and American Indian and Alaska Native,"3,104,311","±35,679",0.9%,±0.1,"82,559","±6,166",0.7%,±0.1,"2,117","±1,287",2.2%,±1.3,"1,371","±1,031",1.2%,±0.9,617,±529,0.4%,±0.3,431,±60,0.5%,±0.1,"3,264","±1,642",2.5%,±1.3,"2,103",±588,3.1%,±0.9,"1,643",±731,0.5%,±0.2,"1,783",±459,0.6%,±0.2,"1,135",±922,0.9%,±0.7,434,±319,0.1%,±0.1,"2,559",±449,0.3%,±0.1,823,±237,0.5%,±0.1,965,±26,0.6%,±0.1,"2,294",±317,0.3%,±0.1,756,±552,0.9%,±0.7,771,±674,0.5%,±0.4,N,N,N,N,821,±304,0.7%,±0.2,612,±17,0.6%,±0.1,651,±394,0.2%,±0.1,"2,646",±570,0.2%,±0.1,515,±60,0.6%,±0.1,"3,090",±702,0.3%,±0.1,"1,099",±36,0.5%,±0.1,878,±168,0.3%,±0.1,"1,918","±1,591",1.1%,±0.9,957,±589,1.0%,±0.6,528,±520,0.8%,±0.8,647,±603,0.5%,±0.5,"1,127",±428,0.6%,±0.2,"1,026",±770,0.8%,±0.6,"2,226","±1,729",1.2%,±0.9,"1,020",±164,0.5%,±0.1,780,±692,0.8%,±0.7,N,N,N,N,N,N,N,N,N,N,N,N,560,±87,0.5%,±0.1,"3,176",±906,3.0%,±0.9
            White and Asian,"3,279,116","±46,212",1.0%,±0.1,"72,455","±6,522",0.6%,±0.1,"1,071",±817,1.1%,±0.8,409,±501,0.3%,±0.4,366,±341,0.2%,±0.2,657,±688,0.8%,±0.8,556,±532,0.4%,±0.4,247,±298,0.4%,±0.4,"1,168",±582,0.4%,±0.2,"2,240","±1,174",0.8%,±0.4,"1,489",±928,1.1%,±0.7,153,±273,0.1%,±0.1,"7,085","±1,470",0.9%,±0.2,"2,100","±1,194",1.3%,±0.7,145,±171,0.1%,±0.1,"6,592","±1,775",0.9%,±0.2,299,±251,0.4%,±0.3,776,±779,0.5%,±0.5,N,N,N,N,402,±448,0.3%,±0.4,524,±527,0.5%,±0.5,"3,627","±1,493",1.3%,±0.5,"11,003","±2,305",1.0%,±0.2,369,±566,0.4%,±0.7,"11,030","±3,172",1.1%,±0.3,819,±934,0.4%,±0.4,665,±468,0.3%,±0.2,497,±469,0.3%,±0.3,303,±283,0.3%,±0.3,"1,692",±920,2.5%,±1.3,724,±546,0.6%,±0.4,"1,482",±837,0.7%,±0.4,114,±150,0.1%,±0.1,"1,238",±768,0.7%,±0.4,"1,091",±415,0.5%,±0.2,216,±380,0.2%,±0.4,N,N,N,N,N,N,N,N,N,N,N,N,788,±619,0.7%,±0.6,793,±260,0.8%,±0.2
            White and Some Other Race,"27,894,500","±146,957",8.2%,±0.1,"444,101","±19,787",4.0%,±0.2,"6,017","±1,528",6.2%,±1.6,"5,949","±2,445",5.1%,±2.1,"2,375","±1,390",1.5%,±0.9,712,±709,0.8%,±0.8,"7,200","±2,506",5.5%,±1.9,717,±616,1.0%,±0.9,"7,713","±2,183",2.5%,±0.7,"17,656","±4,534",6.0%,±1.5,"4,463","±1,913",3.4%,±1.5,"13,751","±6,049",4.6%,±2.0,"32,203","±4,736",4.1%,±0.6,"3,754","±1,615",2.2%,±1.0,"4,975","±1,809",3.1%,±1.1,"35,782","±5,309",4.6%,±0.7,380,±354,0.5%,±0.4,"4,008","±1,935",2.6%,±1.3,N,N,N,N,"3,520","±1,443",2.8%,±1.2,"2,519","±1,416",2.5%,±1.4,"17,469","±3,427",6.2%,±1.2,"36,097","±5,429",3.3%,±0.5,"1,372",±754,1.6%,±0.9,"71,317","±7,822",7.1%,±0.8,"29,913","±5,609",13.5%,±2.5,"5,790","±1,687",2.2%,±0.7,"4,051","±2,037",2.3%,±1.2,"5,678","±2,393",6.1%,±2.6,"5,417","±2,444",7.9%,±3.6,"2,959","±1,273",2.4%,±1.0,"3,376","±1,309",1.7%,±0.6,"1,711","±1,176",1.4%,±0.9,"9,999","±4,347",5.3%,±2.3,"3,780","±1,488",1.8%,±0.7,"1,771","±1,301",1.8%,±1.3,N,N,N,N,N,N,N,N,N,N,N,N,"3,575","±1,907",3.3%,±1.7,"8,685","±2,778",8.3%,±2.6
            Black or African American and American Indian and Alaska Native,"524,767","±24,547",0.2%,±0.1,"26,794","±5,339",0.2%,±0.1,39,±4,0.0%,±0.1,0,±232,0.0%,±0.2,320,±341,0.2%,±0.2,324,±467,0.4%,±0.5,172,±150,0.1%,±0.1,0,±232,0.0%,±0.3,"1,158","±1,610",0.4%,±0.5,0,±232,0.0%,±0.1,0,±232,0.0%,±0.2,370,±313,0.1%,±0.1,"2,064","±1,015",0.3%,±0.1,38,±3,0.0%,±0.1,0,±232,0.0%,±0.1,"1,575","±1,002",0.2%,±0.1,384,±395,0.5%,±0.5,554,±775,0.4%,±0.5,N,N,N,N,436,±578,0.3%,±0.5,0,±232,0.0%,±0.2,55,±98,0.0%,±0.1,"6,232","±2,755",0.6%,±0.3,476,±685,0.6%,±0.8,"1,698",±981,0.2%,±0.1,0,±232,0.0%,±0.1,"3,211","±2,640",1.2%,±1.0,82,±153,0.0%,±0.1,59,±116,0.1%,±0.1,264,±435,0.4%,±0.6,339,±584,0.3%,±0.5,287,±342,0.1%,±0.2,597,±616,0.5%,±0.5,369,±534,0.2%,±0.3,677,±573,0.3%,±0.3,577,±682,0.6%,±0.7,N,N,N,N,N,N,N,N,N,N,N,N,0,±232,0.0%,±0.2,74,±104,0.1%,±0.1
            Black or African American and Some Other Race,"1,317,679","±41,177",0.4%,±0.1,"53,166","±7,284",0.5%,±0.1,811,±633,0.8%,±0.7,137,±223,0.1%,±0.2,322,±318,0.2%,±0.2,0,±232,0.0%,±0.3,"1,159","±1,701",0.9%,±1.3,36,±70,0.1%,±0.1,543,±484,0.2%,±0.2,544,±547,0.2%,±0.2,"2,561","±2,114",2.0%,±1.6,"3,234","±2,022",1.1%,±0.7,"4,006","±1,887",0.5%,±0.2,767,±607,0.5%,±0.4,278,±359,0.2%,±0.2,"6,487","±2,774",0.8%,±0.4,41,±98,0.0%,±0.1,390,±493,0.3%,±0.3,N,N,N,N,584,±593,0.5%,±0.5,37,±3,0.0%,±0.1,246,±434,0.1%,±0.2,"9,111","±3,341",0.8%,±0.3,964,"±1,334",1.1%,±1.5,"6,778","±1,886",0.7%,±0.2,752,±799,0.3%,±0.4,"2,186","±1,568",0.8%,±0.6,158,±161,0.1%,±0.1,0,±232,0.0%,±0.2,"1,495","±1,505",2.2%,±2.2,340,±375,0.3%,±0.3,140,±156,0.1%,±0.1,982,"±1,066",0.8%,±0.9,947,±625,0.5%,±0.3,923,±776,0.4%,±0.4,695,±533,0.7%,±0.5,N,N,N,N,N,N,N,N,N,N,N,N,387,±649,0.4%,±0.6,19,±36,0.0%,±0.1
Race alone or in combination with one or more other races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total population,"340,110,990",*****,"340,110,990",(X),"11,180,878",*****,"11,180,878",(X),"96,294",*****,"96,294",(X),"117,508",*****,"117,508",(X),"157,056",*****,"157,056",(X),"85,454",*****,"85,454",(X),"129,911",*****,"129,911",(X),"68,940",*****,"68,940",(X),"307,336",*****,"307,336",(X),"293,513",*****,"293,513",(X),"129,995",*****,"129,995",(X),"297,703",*****,"297,703",(X),"787,538",*****,"787,538",(X),"167,472",*****,"167,472",(X),"158,233",*****,"158,233",(X),"770,307",*****,"770,307",(X),"82,418",*****,"82,418",(X),"151,887",*****,"151,887",(X),"73,148",*****,"73,148",(X),"125,107",*****,"125,107",(X),"101,390",*****,"101,390",(X),"280,096",*****,"280,096",(X),"1,090,354",*****,"1,090,354",(X),"86,540",*****,"86,540",(X),"1,003,869",*****,"1,003,869",(X),"221,745",*****,"221,745",(X),"259,315",*****,"259,315",(X),"174,897",*****,"174,897",(X),"93,825",*****,"93,825",(X),"68,607",*****,"68,607",(X),"122,082",*****,"122,082",(X),"201,830",*****,"201,830",(X),"124,010",*****,"124,010",(X),"188,549",*****,"188,549",(X),"206,303",*****,"206,303",(X),"97,610",*****,"97,610",(X),"70,292",*****,"70,292",(X),"71,513",*****,"71,513",(X),"69,340",*****,"69,340",(X),"109,792",*****,"109,792",(X),"105,070",*****,"105,070",(X)
        White,"244,978,025","±188,902",72.0%,±0.1,"6,426,260","±31,059",57.5%,±0.3,"70,059","±2,198",72.8%,±2.3,"96,959","±2,636",82.5%,±2.2,"61,743","±3,010",39.3%,±1.9,"57,009","±1,889",66.7%,±2.2,"100,499","±3,284",77.4%,±2.5,"64,160",±985,93.1%,±1.4,"165,718","±3,467",53.9%,±1.1,"247,740","±4,484",84.4%,±1.5,"84,649","±2,554",65.1%,±2.0,"50,414","±6,544",16.9%,±2.2,"443,024","±7,506",56.3%,±1.0,"116,194","±2,788",69.4%,±1.7,"116,217","±2,860",73.4%,±1.8,"279,175","±7,790",36.2%,±1.0,"21,604","±1,746",26.2%,±2.1,"55,774","±3,462",36.7%,±2.3,"57,822","±1,875",79.0%,±2.6,"74,575","±2,612",59.6%,±2.1,"74,402","±1,898",73.4%,±1.9,"193,683","±3,887",69.1%,±1.4,"490,887","±8,594",45.0%,±0.8,"58,716","±2,192",67.8%,±2.5,"420,782","±13,109",41.9%,±1.3,"177,581","±5,620",80.1%,±2.5,"91,759","±3,533",35.4%,±1.4,"101,532","±3,452",58.1%,±2.0,"79,088","±2,376",84.3%,±2.5,"33,831","±2,008",49.3%,±2.9,"69,740","±2,183",57.1%,±1.8,"87,343","±3,061",43.3%,±1.5,"53,641","±2,854",43.3%,±2.3,"124,981","±3,724",66.3%,±2.0,"77,286","±2,532",37.5%,±1.2,"30,568","±3,004",31.3%,±3.1,"41,504","±2,004",59.0%,±2.9,"42,520","±1,571",59.5%,±2.2,"65,750",±807,94.8%,±1.2,"80,956","±3,039",73.7%,±2.8,"74,621","±3,400",71.0%,±3.2
        Black or African American,"49,204,745","±68,095",14.5%,±0.1,"3,754,903","±15,108",33.6%,±0.1,"16,077","±1,757",16.7%,±1.8,"15,374",±912,13.1%,±0.8,"91,476","±1,104",58.2%,±0.7,"25,654",±346,30.0%,±0.4,"26,178","±2,693",20.2%,±2.1,"1,788",±544,2.6%,±0.8,"124,536","±2,718",40.5%,±0.9,"26,676","±1,016",9.1%,±0.3,"34,958","±1,084",26.9%,±0.8,"217,026","±2,650",72.9%,±0.9,"235,004","±2,473",29.8%,±0.3,"37,683","±2,218",22.5%,±1.3,"34,419",±817,21.8%,±0.5,"414,858","±3,873",53.9%,±0.5,"59,110",±945,71.7%,±1.1,"84,905","±2,119",55.9%,±1.4,"12,937",±59,17.7%,±0.1,"35,662","±1,471",28.5%,±1.2,"16,015",±63,15.8%,±0.1,"15,626",±806,5.6%,±0.3,"501,611","±3,411",46.0%,±0.3,"23,033","±1,454",26.6%,±1.7,"315,667","±4,042",31.4%,±0.4,"21,732","±1,745",9.8%,±0.8,"153,335","±2,282",59.1%,±0.9,"65,982","±1,660",37.7%,±0.9,"9,600",±232,10.2%,±0.2,"30,941","±2,281",45.1%,±3.3,"48,884","±1,714",40.0%,±1.4,"103,755","±1,436",51.4%,±0.7,"67,444","±1,787",54.4%,±1.4,"51,009","±2,937",27.1%,±1.6,"124,416","±1,475",60.3%,±0.7,"63,547","±1,914",65.1%,±2.0,"26,940","±1,890",38.3%,±2.7,"27,043",±232,37.8%,±0.3,"4,271",±564,6.2%,±0.8,"25,941",±900,23.6%,±0.8,"3,309","±1,164",3.1%,±1.1
        American Indian and Alaska Native,"9,107,719","±82,551",2.7%,±0.1,"219,384","±15,385",2.0%,±0.1,"3,789","±1,612",3.9%,±1.7,"1,983",±961,1.7%,±0.8,"1,623",±799,1.0%,±0.5,"2,381","±1,529",2.8%,±1.8,"5,603","±2,120",4.3%,±1.6,"2,434",±653,3.5%,±0.9,"6,025","±2,471",2.0%,±0.8,"3,522","±1,430",1.2%,±0.5,"1,646","±1,246",1.3%,±1.0,"7,139","±3,123",2.4%,±1.0,"13,598","±3,046",1.7%,±0.4,"2,312",±807,1.4%,±0.5,"1,561",±518,1.0%,±0.3,"8,779","±2,804",1.1%,±0.4,"1,850",±951,2.2%,±1.2,"2,651","±1,579",1.7%,±1.0,914,±500,1.2%,±0.7,"2,295","±1,123",1.8%,±0.9,"3,588","±2,729",3.5%,±2.7,"4,371","±2,282",1.6%,±0.8,"20,686","±4,424",1.9%,±0.4,"2,151","±1,348",2.5%,±1.6,"14,323","±3,143",1.4%,±0.3,"2,792","±1,094",1.3%,±0.5,"6,297","±3,078",2.4%,±1.2,"3,259","±1,735",1.9%,±1.0,"2,853","±1,539",3.0%,±1.6,"2,580","±1,657",3.8%,±2.4,"2,305","±1,444",1.9%,±1.2,"4,444","±2,119",2.2%,±1.0,"2,829","±1,450",2.3%,±1.2,"5,353","±2,706",2.8%,±1.4,"2,657",±951,1.3%,±0.5,"3,111","±1,979",3.2%,±2.0,N,N,N,N,"1,326","±1,095",1.9%,±1.5,537,±232,0.8%,±0.3,"1,509","±1,018",1.4%,±0.9,"5,954","±2,059",5.7%,±2.0
        Asian,"26,426,274","±46,981",7.8%,±0.1,"668,084","±7,247",6.0%,±0.1,"5,332",±508,5.5%,±0.5,"2,549",±481,2.2%,±0.4,"4,399",±423,2.8%,±0.3,"1,657",±232,1.9%,±0.3,"1,995",±202,1.5%,±0.2,"1,526",±137,2.2%,±0.2,"13,912","±1,472",4.5%,±0.5,"11,340",±330,3.9%,±0.1,"6,980",±715,5.4%,±0.6,"18,047","±1,560",6.1%,±0.5,"58,453","±2,370",7.4%,±0.3,"10,694",±535,6.4%,±0.3,"4,389",±727,2.8%,±0.5,"58,396","±1,538",7.6%,±0.2,883,±232,1.1%,±0.3,"4,708","±1,214",3.1%,±0.8,"1,439",±239,2.0%,±0.3,"8,261",±533,6.6%,±0.4,"1,972",±232,1.9%,±0.2,"68,849",±821,24.6%,±0.3,"106,646","±2,029",9.8%,±0.2,"1,886",±232,2.2%,±0.3,"158,582","±2,214",15.8%,±0.2,"6,821",±752,3.1%,±0.3,"12,272","±1,689",4.7%,±0.7,"9,098","±1,502",5.2%,±0.9,"4,312",±865,4.6%,±0.9,"3,268",±914,4.8%,±1.3,"4,034",±895,3.3%,±0.7,"9,321","±1,195",4.6%,±0.6,"2,337",±109,1.9%,±0.1,"5,391",±778,2.9%,±0.4,"5,144",±336,2.5%,±0.2,"2,599",±573,2.7%,±0.6,921,±805,1.3%,±1.1,"2,097",±164,2.9%,±0.2,633,±503,0.9%,±0.7,"2,684",±232,2.4%,±0.2,"2,014",±48,1.9%,±0.1
